priority,track,company,decision_maker_name,decision_maker_title,market_focus,why_fit,outreach_channel,source_url,source_type,confidence,status,next_step
A,AI,Microsoft,"Rodrigo Kede Lima","President, Microsoft Asia",Asia,"Regional executive owner for Microsoft AI transformation and strategic partner ecosystem in Asia.","LinkedIn + Microsoft partner intro + enterprise events",https://news.microsoft.com/apac/2024/09/05/microsoft-appoints-rodrigo-kede-lima-as-new-president-for-asia/,Official company news,High,Not contacted,"Map mutual connections in SG/JP enterprise circles"
A,AI,Microsoft,"Miki Tsusaka","President, Microsoft Japan",Japan,"Likely decision influence for Japan-facing enterprise AI co-marketing and innovation programs.","LinkedIn + Japan enterprise partner network",https://news.microsoft.com/source/asia/2023/02/01/microsoft-appoints-miki-tsusaka-as-new-president-of-microsoft-japan/,Official company news,High,Not contacted,"Prepare Japan-specific sponsorship one-pager"
A,AI,Google Cloud,"Karan Bajwa","Vice President, Asia Pacific",APAC,"Owns APAC go-to-market direction; strong fit for regional AI ecosystem sponsorship.","LinkedIn + Google Cloud partner channel",https://www.channelasia.tech/article/2086096/rahul-sharma-leads-google-clouds-apac-public-sector-business.html,Industry publication quoting executive,Medium,Not contacted,"Target through APAC partner marketing leadership"
B,AI,Google Cloud,"Rahul Sharma","Managing Director, APAC Public Sector",APAC,"Public-sector and ecosystem partnerships can support credibility-building sponsorship activations.","LinkedIn + policy/ecosystem event networking",https://www.channelasia.tech/article/2086096/rahul-sharma-leads-google-clouds-apac-public-sector-business.html,Industry publication,Medium,Not contacted,"Frame as workforce and AI literacy partnership"
B,AI,Google Cloud,"Mark Micallef","Managing Director, Southeast Asia",SEA,"SEA business owner with remit to drive market growth and enterprise relevance.","LinkedIn + regional cloud events",https://www.businesstoday.com.my/2023/06/19/google-cloud-appoints-mark-micallef-as-md-for-sea/,Industry publication,Medium,Not contacted,"Pitch SEA talent pipeline + developer community activation"
A,AI,Anthropic,"Irina Ghose","Managing Director, Anthropic India",India/APAC,"New country leader likely shaping enterprise and ecosystem partnerships in APAC growth phase.","LinkedIn + AI policy/events outreach",https://timesofindia.indiatimes.com/education/news/who-is-irina-ghose-the-iit-bhu-graduate-and-former-microsoft-md-now-leading-anthropic-india/articleshow/128111240.cms,Reputable media,Medium,Not contacted,"Use India+APAC education/enterprise angle"
A,AI,OpenAI,"Raghav Gupta","Head of Education Initiatives, India and APAC",India/APAC,"Education-led AI adoption role aligns with cohort sponsorship and talent funnel positioning.","LinkedIn + education ecosystem intro",https://economictimes.indiatimes.com/tech/technology/openai-appoints-former-coursera-executive-raghav-gupta-as-education-vertical-head/articleshow/123502319.cms,Reputable media,Medium,Not contacted,"Lead with cohort outcomes and institutional access"
B,AI,OpenAI,"Grace Chua","Head of Communications, Singapore and SEA",SEA,"Can influence regional narrative partnerships and flagship ecosystem visibility.","LinkedIn + comms/brand partnership route",https://www.marketing-interactive.com/openai-nabs-former-google-lead-as-sg-and-sea-head-of-comms,Industry publication,Medium,Not contacted,"Offer flagship story package + media-ready impact metrics"
B,AI,Databricks,"Greg Taylor","Vice President of Partners, APJ",APJ,"Directly tied to APJ partner ecosystem and co-sell/commercial collaborations.","Partner ecosystem intro + LinkedIn",https://www.prnewswire.com/news-releases/bizmetric-awarded-2025-databricks-apj-innovation-partner-of-the-year-at-data--ai-summit-302482396.html,Press release quote,Medium,Not contacted,"Align ask to APJ partner expansion KPIs"
C,AI,Databricks,"Jeremy Cooper","Vice President of Marketing, APJ",APJ,"Marketing budget owner for regional brand and demand programs that can include sponsorships.","LinkedIn + APJ marketing network",https://www.marketing-interactive.com/databricks-names-former-aws-marketing-leader-jeremy-cooper-as-marketing-vp,Industry publication,Medium,Not contacted,"Pitch co-branded APJ thought-leadership package"
B,AI,NAVER Cloud,"Park Won-gi","Head of APAC Business Development",APAC,"Named APAC BD leader; strong fit for strategic market-entry and ecosystem partnerships.","LinkedIn + APAC cloud partner route",https://www.asiae.co.kr/en/article/2023010210321727420,Industry publication,Medium,Not contacted,"Prepare JP/KR expansion value proposition"
B,AI,Sakana AI,"Ren Ito","Co-founder and COO",Japan/APAC,"Executive sponsor-level contact at high-growth Japan AI company with enterprise partnership momentum.","Warm intro via MUFG/enterprise ecosystem",https://sakana.ai/mufg-bank/,Official company announcement,High,Not contacted,"Position as Japan AI leadership + sovereign AI narrative"
B,AI,OpenAI,"(Open Role)","Head of Marketing, APAC",APAC,"Role is explicitly designed to own APAC partner marketing and growth campaigns.","Apply via OpenAI partnerships + talent network",https://openai.com/careers/head-of-marketing-apac/,Official company careers page,High,Not contacted,"Identify interim owner via GTM team"
B,AI,OpenAI,"(Open Role)","Head of Asia-Pacific, Global Affairs",APAC,"Senior regional role with campaigns/partnership remit across governments and institutions.","Policy + public affairs intro route",https://openai.com/careers/head-of-asia-pacific-global-affairs/,Official company careers page,High,Not contacted,"Route through OpenAI APAC public affairs team"
C,AI,Anthropic,"(Open Role)","Head of International Partnerships",International,"Role explicitly covers APAC/EMEA/LATAM expansion through strategic partner ecosystem.","Anthropic partnerships channel",https://www.anthropic.com/careers/jobs/5018565008,Official company careers page,High,Not contacted,"Find regional counterpart in current org"
A,L1,Solana Foundation,"Lu Yin","APAC Lead, Solana Foundation",APAC,"Direct APAC ecosystem owner and high-fit decision-maker for regional sponsorship activations.","LinkedIn + Solana ecosystem intro",https://gftnforum.jp/speakers-2025/spkr9727-lu-yin,Conference speaker profile,Medium,Not contacted,"Use APAC builder + policy + payments narrative"
A,L1,Solana Foundation,"Lily Liu","President, Solana Foundation",Global/APAC,"Top-level decision-maker for strategic ecosystem and institutional partnerships.","Direct executive outreach + warm introduction",https://solana.com/ru/accelerate,Official event page,Medium,Not contacted,"Reserve for high-leverage anchor partnership ask"
A,L1,Solana Company,"Joseph Chee","Executive Chairman",APAC,"Executive influence across Solana APAC initiatives and regional strategic relationships.","Direct outreach + shared investors/operators",https://solana.com/accelerate,Official event page,Medium,Not contacted,"Pair with institutional APAC adoption deck"
A,L1,Wormhole,"Rachit Agarwal","APAC Lead",APAC,"Regional interoperability lead; high relevance for cross-chain, enterprise, and ecosystem sponsorship.","LinkedIn + Wormhole community intro",https://solanasummit.org/en/speakers,Conference speaker profile,Medium,Not contacted,"Propose cross-chain builder track sponsorship"
A,L1,LayerZero,"Alex Lim","APAC BD, Head of Gaming",APAC,"Direct BD owner for Asia growth and gaming/IP initiatives, strong fit for cohort partnerships.","LinkedIn + stablecoin/gaming partner network",https://blockchainleaders.world/speaker/,Conference speaker profile,Medium,Not contacted,"Lead with gaming and cross-chain user growth metrics"
B,L1,Circle,"Elton Tay","Developer Relations Lead APAC",APAC,"Influential in APAC developer ecosystem activations tied to USDC ecosystem growth.","Developer community intro + LinkedIn",https://www.fintechfestival.sg/speakers/spkr8962-elton-tay,Conference speaker profile,Medium,Not contacted,"Pitch developer education + hackathon funnel"
B,L1,Superteam,"Anh Tran","APAC Lead",APAC,"Regional community lead with strong distribution into builders and ecosystem operators.","Community-led outreach",https://solanasummit.org/en/speakers,Conference speaker profile,Medium,Not contacted,"Bundle with ambassador program and demo days"
B,L1,Huma Finance,"Jessica Cao","CEO, Asia Pacific",APAC,"New APAC CEO with mandate for growth and partnerships in stablecoin/payments infrastructure.","LinkedIn + fintech/payments intro",https://www.linkedin.com/company/huma-finance,Company LinkedIn update,Medium,Not contacted,"Pitch enterprise payfi + real-world cohort pipeline"
A,L1,Polygon Foundation,"Sandeep Nailwal","CEO, Polygon Foundation",Global/APAC,"Top decision-maker for strategic ecosystem sponsorship and flagship partnerships.","Executive intro via Polygon ecosystem",https://economictimes.indiatimes.com/tech/technology/polygon-cofounder-sandeep-nailwal-takes-over-as-ceo-amid-restructuring/articleshow/121784317.cms,Reputable media,Medium,Not contacted,"Use institutional and consumer chain adoption case"
B,L1,Sui Foundation,"(Open Role)","Partnerships Manager (APAC)",APAC,"Role explicitly owns key APAC investor/exchange/builder relationships.","Apply via Sui partnership channels",https://jobs.sui.io/companies/sui-foundation-2/jobs/42711121-partnerships-manager,Official job board,High,Not contacted,"Identify hiring manager and interim ecosystem lead"
B,L1,Aptos Labs,"(Open Role)","Business Development Lead - Web3, APAC",APAC,"Role is structured around APAC strategic partnerships and ecosystem growth.","Aptos partnerships channel",https://web3.career/business-development-lead-web3-apac-aptoslabs/38765,Job listing aggregator,Low,Not contacted,"Validate if role still active via LinkedIn"
C,L1,Sui Foundation,"(Open Role)","Marketing Coordinator (APAC)",APAC,"Execution-oriented APAC channel role useful for co-marketing activation execution.","Regional marketing outreach",https://jobs.sui.io/companies/sui-foundation-2/jobs/40332404-marketing-coordinator-apac-contract,Official job board,High,Not contacted,"Use only after partner owner identified"
C,L1,Polygon Labs,"(Open Role)","Business Development Director (Payments) APAC",APAC,"Direct payments partnerships remit across APAC banks/fintechs/stablecoins.","Polygon payments team outreach",https://ecosystemjobs.polygon.technology/companies/polygon-labs/jobs/46981248-business-development-direct-payments-apac,Company job board mirror,Medium,Not contacted,"Check current owner of APAC payments"
B,L1,HashKey Capital,"Mia Mai","Ecosystem Head",Greater China/APAC,"Ecosystem decision-maker with strong APAC network and sponsorship relevance.","Conference/network intro",https://luma.com/wz2xp9zn,Event page listing,Low,Not contacted,"Verify direct profile and role before outreach"
A,XR,PICO XR,"Allen An","Regional Director, PICO XR APAC",APAC,"Named APAC regional leader for XR hardware market expansion and ecosystem growth.","LinkedIn + XR distributor partner intro",https://prebiu.com/2024/09/05/pico-launches-the-pico-4-ultra-an-all-in-one-mr-headset-offering-a-new-level-of-immersive-experience/,Launch coverage quoting executive,Medium,Not contacted,"Lead with APAC demo footprint + event co-branding"
B,XR,HTC VIVE,"Charles Huang","General Manager, HTC VIVE Asia-Pacific",APAC,"Regional XR executive with clear APAC remit and enterprise/metaverse interests.","LinkedIn + HTC enterprise partner route",https://www.taipeitimes.com/News/biz/archives/2022/01/08/2003770944,News coverage quoting executive,Medium,Not contacted,"Validate current title before contact"
B,XR,Niantic,"Allan Lo","Commercial Partnerships, Head of APAC",APAC,"Direct brand/commercial partnerships owner for APAC experiences and activations.","LinkedIn + brand partnerships intro",https://theorg.com/org/niantic/org-chart/allan-lo,Org directory,Low,Not contacted,"Confirm title on LinkedIn before outreach"
B,XR,Niantic,"(Open Role)","Senior Manager, Brand Partnerships (APAC)",APAC,"Role focuses on expanding APAC advertising/enterprise partnerships in Tokyo.","Niantic careers + hiring manager outreach",https://careers.nianticlabs.com/openings/senior-manager-brand-partnerships/,Official careers page,High,Not contacted,"Identify current interim owner for budget approval"
B,XR,Meta Reality Labs,"(Open Role)","Channel Partner Manager (Reality Labs, APAC)",APAC,"Role includes APAC channel GTM, partner strategy and sales delivery for XR products.","Meta careers + channel partner route",https://www.globalsouthopportunities.com/2025/05/29/meta/,Job repost summary,Low,Not contacted,"Find canonical Meta job URL before outreach"
B,XR,Sony,"Seiya Amatatsu","Head, XR Technology Development Division",Japan/APAC,"Senior Sony XR leader tied to spatial content and enterprise collaboration programs.","Sony XR business contact + industry events",https://www.engineering.com/siemens-partners-with-sony/,Industry coverage quoting executive,Medium,Not contacted,"Use enterprise design and creator tooling narrative"
B,XR,Niantic,"Setsuto Murai","Vice President",Japan/APAC,"VP-level leader publicly representing AR partnership initiatives in Japan.","Niantic strategic partnerships route",https://www.sony.co.jp/en/news-release/202202/22-005E/,Official Sony press release quote,High,Not contacted,"Pitch auditory+spatial experience sponsorship concept"
C,XR,Entravision (Snap APAC sales partner),"Victor Kong","President, Global Partnerships",APAC emerging markets,"Partnership controls APAC market access for Snap ad solutions in selected markets.","Entravision global partnerships outreach",https://www.businesswire.com/news/home/20240103191657/en/Entravision-and-Snap-Inc.-Enter-Into-a-Strategic-Partnership-in-APAC,Businesswire release,High,Not contacted,"Position as APAC youth + creator engagement campaign"
C,XR,Meta,"Edgar Auslander","Senior Director, AR & Wearable Devices Alliances and Partnerships",Global,"Alliance-level decision influence for AR ecosystem collaborations.","Alliance/network referral",https://www.globenewswire.com/news-release/2024/04/11/2861360/0/en/Meta-Joins-the-AR-Alliance-for-Augmented-Reality-Wearable-Devices.html,Press release quote,Medium,Not contacted,"Use only for ecosystem-level partnership asks"
C,XR,LG Electronics,"Park Hyoung-sei","President, Home Entertainment Company",Global/APAC,"Executive sponsor for LG XR collaboration roadmap and partner strategy with Meta.","Corporate partnership intro",https://en.prnasia.com/releases/apac/lg-and-meta-forge-collaboration-with-meta-to-accelerate-xr-business-437902.shtml,PRNewswire APAC,Medium,Not contacted,"Use for enterprise XR showcase sponsorship"
