owner,sequence,priority,track,company,decision_maker_name,decision_maker_title,market_focus,confidence,source_url,outreach_channel,why_fit,track_sponsor_page_url,current_stage,next_action,week1_date,week1_channel,week1_subject,week1_email_body,week1_status,week1_notes,week2_date,week2_channel,week2_subject,week2_email_body,week2_status,week2_notes,week3_date,week3_channel,week3_subject,week3_email_body,week3_status,week3_notes
Mariam,1,A,AI,Microsoft,Miki Tsusaka,"President, Microsoft Japan",Japan,High,https://news.microsoft.com/source/asia/2023/02/01/microsoft-appoints-miki-tsusaka-as-new-president-of-microsoft-japan/,Email + LinkedIn + warm intro,Likely decision influence for Japan-facing enterprise AI co-marketing and innovation programs.,https://YOUR-DOMAIN/sponsors-ai.html,Ready to send,Send first-touch email on 2026-02-10,2026-02-10,Email,Official AI Partner seat for enXross APAC cohort (Microsoft),"Hi Miki,

I am reaching out because enXross is selecting one Official AI Partner for our next cohort in Tokyo ([insert cohort dates]).

I am contacting you specifically because your role as President, Microsoft Japan at Microsoft is closely aligned to this initiative.
Why this is likely relevant: Likely decision influence for Japan-facing enterprise AI co-marketing and innovation programs.

What this partnership is designed to deliver:
- Direct access to builders shipping production AI use cases in APAC.
- Category ownership as the default AI stack across the cohort.
- Measurable outcomes: credits activated, MAU, and retained teams post-demo day.

We are not positioning this as logo placement. This is a flagship partnership with clear adoption KPIs and board-level reporting.

Would you be open to a focused 20-minute call next week?
[insert scheduling link]

Best,
Mariam
Partnerships, enXross
[mariam@your-domain]
https://YOUR-DOMAIN/sponsors-ai.html",Pending,Send during APAC business hours (09:00-11:00 local).,2026-02-17,Email + LinkedIn DM,Re: Official AI Partner seat for enXross APAC cohort (Microsoft),"Hi Miki,

Quick follow-up in case this is relevant to your APAC planning.

We have one official AI partner seat and are prioritizing partners focused on measurable adoption outcomes, not visibility-only sponsorship.

If useful, I can send the 1-page executive brief first so you can quickly assess fit.

Best,
Mariam",Pending,"If no reply, send LinkedIn connect + message same day.",2026-02-24,Email (close-loop) + referral ask,Close loop: enXross x Microsoft,"Hi Miki,

Closing the loop on this thread.

If this is not in your remit, could you point me to the owner for APAC partnerships/sponsorship decisions?

I can share a concise one-pager and keep this efficient.

Thanks,
Mariam",Pending,Ask for correct owner if out-of-scope; archive if no response after 7 days.
Mariam,2,A,AI,Microsoft,Rodrigo Kede Lima,"President, Microsoft Asia",Asia,High,https://news.microsoft.com/apac/2024/09/05/microsoft-appoints-rodrigo-kede-lima-as-new-president-for-asia/,Email + LinkedIn + warm intro,Regional executive owner for Microsoft AI transformation and strategic partner ecosystem in Asia.,https://YOUR-DOMAIN/sponsors-ai.html,Ready to send,Send first-touch email on 2026-02-10,2026-02-10,Email,Official AI Partner seat for enXross APAC cohort (Microsoft),"Hi Rodrigo,

I am reaching out because enXross is selecting one Official AI Partner for our next cohort in Tokyo ([insert cohort dates]).

I am contacting you specifically because your role as President, Microsoft Asia at Microsoft is closely aligned to this initiative.
Why this is likely relevant: Regional executive owner for Microsoft AI transformation and strategic partner ecosystem in Asia.

What this partnership is designed to deliver:
- Direct access to builders shipping production AI use cases in APAC.
- Category ownership as the default AI stack across the cohort.
- Measurable outcomes: credits activated, MAU, and retained teams post-demo day.

We are not positioning this as logo placement. This is a flagship partnership with clear adoption KPIs and board-level reporting.

Would you be open to a focused 20-minute call next week?
[insert scheduling link]

Best,
Mariam
Partnerships, enXross
[mariam@your-domain]
https://YOUR-DOMAIN/sponsors-ai.html",Pending,Send during APAC business hours (09:00-11:00 local).,2026-02-17,Email + LinkedIn DM,Re: Official AI Partner seat for enXross APAC cohort (Microsoft),"Hi Rodrigo,

Quick follow-up in case this is relevant to your APAC planning.

We have one official AI partner seat and are prioritizing partners focused on measurable adoption outcomes, not visibility-only sponsorship.

If useful, I can send the 1-page executive brief first so you can quickly assess fit.

Best,
Mariam",Pending,"If no reply, send LinkedIn connect + message same day.",2026-02-24,Email (close-loop) + referral ask,Close loop: enXross x Microsoft,"Hi Rodrigo,

Closing the loop on this thread.

If this is not in your remit, could you point me to the owner for APAC partnerships/sponsorship decisions?

I can share a concise one-pager and keep this efficient.

Thanks,
Mariam",Pending,Ask for correct owner if out-of-scope; archive if no response after 7 days.
Mariam,3,A,AI,Anthropic,Irina Ghose,"Managing Director, Anthropic India",India/APAC,Medium,https://timesofindia.indiatimes.com/education/news/who-is-irina-ghose-the-iit-bhu-graduate-and-former-microsoft-md-now-leading-anthropic-india/articleshow/128111240.cms,Email + LinkedIn + warm intro,New country leader likely shaping enterprise and ecosystem partnerships in APAC growth phase.,https://YOUR-DOMAIN/sponsors-ai.html,Ready to send,Send first-touch email on 2026-02-10,2026-02-10,Email,Official AI Partner seat for enXross APAC cohort (Anthropic),"Hi Irina,

I am reaching out because enXross is selecting one Official AI Partner for our next cohort in Tokyo ([insert cohort dates]).

I am contacting you specifically because your role as Managing Director, Anthropic India at Anthropic is closely aligned to this initiative.
Why this is likely relevant: New country leader likely shaping enterprise and ecosystem partnerships in APAC growth phase.

What this partnership is designed to deliver:
- Direct access to builders shipping production AI use cases in APAC.
- Category ownership as the default AI stack across the cohort.
- Measurable outcomes: credits activated, MAU, and retained teams post-demo day.

We are not positioning this as logo placement. This is a flagship partnership with clear adoption KPIs and board-level reporting.

Would you be open to a focused 20-minute call next week?
[insert scheduling link]

Best,
Mariam
Partnerships, enXross
[mariam@your-domain]
https://YOUR-DOMAIN/sponsors-ai.html",Pending,Send during APAC business hours (09:00-11:00 local).,2026-02-17,Email + LinkedIn DM,Re: Official AI Partner seat for enXross APAC cohort (Anthropic),"Hi Irina,

Quick follow-up in case this is relevant to your APAC planning.

We have one official AI partner seat and are prioritizing partners focused on measurable adoption outcomes, not visibility-only sponsorship.

If useful, I can send the 1-page executive brief first so you can quickly assess fit.

Best,
Mariam",Pending,"If no reply, send LinkedIn connect + message same day.",2026-02-24,Email (close-loop) + referral ask,Close loop: enXross x Anthropic,"Hi Irina,

Closing the loop on this thread.

If this is not in your remit, could you point me to the owner for APAC partnerships/sponsorship decisions?

I can share a concise one-pager and keep this efficient.

Thanks,
Mariam",Pending,Ask for correct owner if out-of-scope; archive if no response after 7 days.
Mariam,4,A,AI,Google Cloud,Karan Bajwa,"Vice President, Asia Pacific",APAC,Medium,https://www.channelasia.tech/article/2086096/rahul-sharma-leads-google-clouds-apac-public-sector-business.html,Email + LinkedIn + warm intro,Owns APAC go-to-market direction; strong fit for regional AI ecosystem sponsorship.,https://YOUR-DOMAIN/sponsors-ai.html,Ready to send,Send first-touch email on 2026-02-10,2026-02-10,Email,Official AI Partner seat for enXross APAC cohort (Google Cloud),"Hi Karan,

I am reaching out because enXross is selecting one Official AI Partner for our next cohort in Tokyo ([insert cohort dates]).

I am contacting you specifically because your role as Vice President, Asia Pacific at Google Cloud is closely aligned to this initiative.
Why this is likely relevant: Owns APAC go-to-market direction; strong fit for regional AI ecosystem sponsorship.

What this partnership is designed to deliver:
- Direct access to builders shipping production AI use cases in APAC.
- Category ownership as the default AI stack across the cohort.
- Measurable outcomes: credits activated, MAU, and retained teams post-demo day.

We are not positioning this as logo placement. This is a flagship partnership with clear adoption KPIs and board-level reporting.

Would you be open to a focused 20-minute call next week?
[insert scheduling link]

Best,
Mariam
Partnerships, enXross
[mariam@your-domain]
https://YOUR-DOMAIN/sponsors-ai.html",Pending,Send during APAC business hours (09:00-11:00 local).,2026-02-17,Email + LinkedIn DM,Re: Official AI Partner seat for enXross APAC cohort (Google Cloud),"Hi Karan,

Quick follow-up in case this is relevant to your APAC planning.

We have one official AI partner seat and are prioritizing partners focused on measurable adoption outcomes, not visibility-only sponsorship.

If useful, I can send the 1-page executive brief first so you can quickly assess fit.

Best,
Mariam",Pending,"If no reply, send LinkedIn connect + message same day.",2026-02-24,Email (close-loop) + referral ask,Close loop: enXross x Google Cloud,"Hi Karan,

Closing the loop on this thread.

If this is not in your remit, could you point me to the owner for APAC partnerships/sponsorship decisions?

I can share a concise one-pager and keep this efficient.

Thanks,
Mariam",Pending,Ask for correct owner if out-of-scope; archive if no response after 7 days.
Mariam,5,A,AI,OpenAI,Raghav Gupta,"Head of Education Initiatives, India and APAC",India/APAC,Medium,https://economictimes.indiatimes.com/tech/technology/openai-appoints-former-coursera-executive-raghav-gupta-as-education-vertical-head/articleshow/123502319.cms,Email + LinkedIn + warm intro,Education-led AI adoption role aligns with cohort sponsorship and talent funnel positioning.,https://YOUR-DOMAIN/sponsors-ai.html,Ready to send,Send first-touch email on 2026-02-10,2026-02-10,Email,Official AI Partner seat for enXross APAC cohort (OpenAI),"Hi Raghav,

I am reaching out because enXross is selecting one Official AI Partner for our next cohort in Tokyo ([insert cohort dates]).

I am contacting you specifically because your role as Head of Education Initiatives, India and APAC at OpenAI is closely aligned to this initiative.
Why this is likely relevant: Education-led AI adoption role aligns with cohort sponsorship and talent funnel positioning.

What this partnership is designed to deliver:
- Direct access to builders shipping production AI use cases in APAC.
- Category ownership as the default AI stack across the cohort.
- Measurable outcomes: credits activated, MAU, and retained teams post-demo day.

We are not positioning this as logo placement. This is a flagship partnership with clear adoption KPIs and board-level reporting.

Would you be open to a focused 20-minute call next week?
[insert scheduling link]

Best,
Mariam
Partnerships, enXross
[mariam@your-domain]
https://YOUR-DOMAIN/sponsors-ai.html",Pending,Send during APAC business hours (09:00-11:00 local).,2026-02-17,Email + LinkedIn DM,Re: Official AI Partner seat for enXross APAC cohort (OpenAI),"Hi Raghav,

Quick follow-up in case this is relevant to your APAC planning.

We have one official AI partner seat and are prioritizing partners focused on measurable adoption outcomes, not visibility-only sponsorship.

If useful, I can send the 1-page executive brief first so you can quickly assess fit.

Best,
Mariam",Pending,"If no reply, send LinkedIn connect + message same day.",2026-02-24,Email (close-loop) + referral ask,Close loop: enXross x OpenAI,"Hi Raghav,

Closing the loop on this thread.

If this is not in your remit, could you point me to the owner for APAC partnerships/sponsorship decisions?

I can share a concise one-pager and keep this efficient.

Thanks,
Mariam",Pending,Ask for correct owner if out-of-scope; archive if no response after 7 days.
Mariam,6,A,L1,LayerZero,Alex Lim,"APAC BD, Head of Gaming",APAC,Medium,https://blockchainleaders.world/speaker/,Email + LinkedIn + warm intro,"Direct BD owner for Asia growth and gaming/IP initiatives, strong fit for cohort partnerships.",https://YOUR-DOMAIN/sponsors-l1.html,Ready to send,Send first-touch email on 2026-02-10,2026-02-10,Email,Official L1 Partner seat for enXross APAC cohort (LayerZero),"Hi Alex,

enXross is finalizing one Official L1 Partner for our next cohort in Tokyo ([insert cohort dates]).

I am contacting you specifically because your role as APAC BD, Head of Gaming at LayerZero is closely aligned to this initiative.
Why this is likely relevant: Direct BD owner for Asia growth and gaming/IP initiatives, strong fit for cohort partnerships.

What this partnership is designed to deliver:
- Qualified pipeline of teams deploying on your chain.
- On-chain outcomes: active wallets, contracts, and transaction growth.
- Narrative leadership: your chain positioned as the execution layer for the cohort.

We are not positioning this as logo placement. This is a flagship partnership with clear adoption KPIs and board-level reporting.

Would you be open to a focused 20-minute call next week?
[insert scheduling link]

Best,
Mariam
Partnerships, enXross
[mariam@your-domain]
https://YOUR-DOMAIN/sponsors-l1.html",Pending,Send during APAC business hours (09:00-11:00 local).,2026-02-17,Email + LinkedIn DM,Re: Official L1 Partner seat for enXross APAC cohort (LayerZero),"Hi Alex,

Quick follow-up in case this is relevant to your APAC planning.

We have one official L1 partner seat and are prioritizing partners focused on measurable adoption outcomes, not visibility-only sponsorship.

If useful, I can send the 1-page executive brief first so you can quickly assess fit.

Best,
Mariam",Pending,"If no reply, send LinkedIn connect + message same day.",2026-02-24,Email (close-loop) + referral ask,Close loop: enXross x LayerZero,"Hi Alex,

Closing the loop on this thread.

If this is not in your remit, could you point me to the owner for APAC partnerships/sponsorship decisions?

I can share a concise one-pager and keep this efficient.

Thanks,
Mariam",Pending,Ask for correct owner if out-of-scope; archive if no response after 7 days.
Mariam,7,A,L1,Polygon Foundation,Sandeep Nailwal,"CEO, Polygon Foundation",Global/APAC,Medium,https://economictimes.indiatimes.com/tech/technology/polygon-cofounder-sandeep-nailwal-takes-over-as-ceo-amid-restructuring/articleshow/121784317.cms,Email + LinkedIn + warm intro,Top decision-maker for strategic ecosystem sponsorship and flagship partnerships.,https://YOUR-DOMAIN/sponsors-l1.html,Ready to send,Send first-touch email on 2026-02-10,2026-02-10,Email,Official L1 Partner seat for enXross APAC cohort (Polygon Foundation),"Hi Sandeep,

enXross is finalizing one Official L1 Partner for our next cohort in Tokyo ([insert cohort dates]).

I am contacting you specifically because your role as CEO, Polygon Foundation at Polygon Foundation is closely aligned to this initiative.
Why this is likely relevant: Top decision-maker for strategic ecosystem sponsorship and flagship partnerships.

What this partnership is designed to deliver:
- Qualified pipeline of teams deploying on your chain.
- On-chain outcomes: active wallets, contracts, and transaction growth.
- Narrative leadership: your chain positioned as the execution layer for the cohort.

We are not positioning this as logo placement. This is a flagship partnership with clear adoption KPIs and board-level reporting.

Would you be open to a focused 20-minute call next week?
[insert scheduling link]

Best,
Mariam
Partnerships, enXross
[mariam@your-domain]
https://YOUR-DOMAIN/sponsors-l1.html",Pending,Send during APAC business hours (09:00-11:00 local).,2026-02-17,Email + LinkedIn DM,Re: Official L1 Partner seat for enXross APAC cohort (Polygon Foundation),"Hi Sandeep,

Quick follow-up in case this is relevant to your APAC planning.

We have one official L1 partner seat and are prioritizing partners focused on measurable adoption outcomes, not visibility-only sponsorship.

If useful, I can send the 1-page executive brief first so you can quickly assess fit.

Best,
Mariam",Pending,"If no reply, send LinkedIn connect + message same day.",2026-02-24,Email (close-loop) + referral ask,Close loop: enXross x Polygon Foundation,"Hi Sandeep,

Closing the loop on this thread.

If this is not in your remit, could you point me to the owner for APAC partnerships/sponsorship decisions?

I can share a concise one-pager and keep this efficient.

Thanks,
Mariam",Pending,Ask for correct owner if out-of-scope; archive if no response after 7 days.
Mariam,8,A,L1,Solana Company,Joseph Chee,Executive Chairman,APAC,Medium,https://solana.com/accelerate,Email + LinkedIn + warm intro,Executive influence across Solana APAC initiatives and regional strategic relationships.,https://YOUR-DOMAIN/sponsors-l1.html,Ready to send,Send first-touch email on 2026-02-10,2026-02-10,Email,Official L1 Partner seat for enXross APAC cohort (Solana Company),"Hi Joseph,

enXross is finalizing one Official L1 Partner for our next cohort in Tokyo ([insert cohort dates]).

I am contacting you specifically because your role as Executive Chairman at Solana Company is closely aligned to this initiative.
Why this is likely relevant: Executive influence across Solana APAC initiatives and regional strategic relationships.

What this partnership is designed to deliver:
- Qualified pipeline of teams deploying on your chain.
- On-chain outcomes: active wallets, contracts, and transaction growth.
- Narrative leadership: your chain positioned as the execution layer for the cohort.

We are not positioning this as logo placement. This is a flagship partnership with clear adoption KPIs and board-level reporting.

Would you be open to a focused 20-minute call next week?
[insert scheduling link]

Best,
Mariam
Partnerships, enXross
[mariam@your-domain]
https://YOUR-DOMAIN/sponsors-l1.html",Pending,Send during APAC business hours (09:00-11:00 local).,2026-02-17,Email + LinkedIn DM,Re: Official L1 Partner seat for enXross APAC cohort (Solana Company),"Hi Joseph,

Quick follow-up in case this is relevant to your APAC planning.

We have one official L1 partner seat and are prioritizing partners focused on measurable adoption outcomes, not visibility-only sponsorship.

If useful, I can send the 1-page executive brief first so you can quickly assess fit.

Best,
Mariam",Pending,"If no reply, send LinkedIn connect + message same day.",2026-02-24,Email (close-loop) + referral ask,Close loop: enXross x Solana Company,"Hi Joseph,

Closing the loop on this thread.

If this is not in your remit, could you point me to the owner for APAC partnerships/sponsorship decisions?

I can share a concise one-pager and keep this efficient.

Thanks,
Mariam",Pending,Ask for correct owner if out-of-scope; archive if no response after 7 days.
Mariam,9,A,L1,Solana Foundation,Lily Liu,"President, Solana Foundation",Global/APAC,Medium,https://solana.com/ru/accelerate,Email + LinkedIn + warm intro,Top-level decision-maker for strategic ecosystem and institutional partnerships.,https://YOUR-DOMAIN/sponsors-l1.html,Ready to send,Send first-touch email on 2026-02-10,2026-02-10,Email,Official L1 Partner seat for enXross APAC cohort (Solana Foundation),"Hi Lily,

enXross is finalizing one Official L1 Partner for our next cohort in Tokyo ([insert cohort dates]).

I am contacting you specifically because your role as President, Solana Foundation at Solana Foundation is closely aligned to this initiative.
Why this is likely relevant: Top-level decision-maker for strategic ecosystem and institutional partnerships.

What this partnership is designed to deliver:
- Qualified pipeline of teams deploying on your chain.
- On-chain outcomes: active wallets, contracts, and transaction growth.
- Narrative leadership: your chain positioned as the execution layer for the cohort.

We are not positioning this as logo placement. This is a flagship partnership with clear adoption KPIs and board-level reporting.

Would you be open to a focused 20-minute call next week?
[insert scheduling link]

Best,
Mariam
Partnerships, enXross
[mariam@your-domain]
https://YOUR-DOMAIN/sponsors-l1.html",Pending,Send during APAC business hours (09:00-11:00 local).,2026-02-17,Email + LinkedIn DM,Re: Official L1 Partner seat for enXross APAC cohort (Solana Foundation),"Hi Lily,

Quick follow-up in case this is relevant to your APAC planning.

We have one official L1 partner seat and are prioritizing partners focused on measurable adoption outcomes, not visibility-only sponsorship.

If useful, I can send the 1-page executive brief first so you can quickly assess fit.

Best,
Mariam",Pending,"If no reply, send LinkedIn connect + message same day.",2026-02-24,Email (close-loop) + referral ask,Close loop: enXross x Solana Foundation,"Hi Lily,

Closing the loop on this thread.

If this is not in your remit, could you point me to the owner for APAC partnerships/sponsorship decisions?

I can share a concise one-pager and keep this efficient.

Thanks,
Mariam",Pending,Ask for correct owner if out-of-scope; archive if no response after 7 days.
Mariam,10,A,L1,Solana Foundation,Lu Yin,"APAC Lead, Solana Foundation",APAC,Medium,https://gftnforum.jp/speakers-2025/spkr9727-lu-yin,Email + LinkedIn + warm intro,Direct APAC ecosystem owner and high-fit decision-maker for regional sponsorship activations.,https://YOUR-DOMAIN/sponsors-l1.html,Ready to send,Send first-touch email on 2026-02-10,2026-02-10,Email,Official L1 Partner seat for enXross APAC cohort (Solana Foundation),"Hi Lu,

enXross is finalizing one Official L1 Partner for our next cohort in Tokyo ([insert cohort dates]).

I am contacting you specifically because your role as APAC Lead, Solana Foundation at Solana Foundation is closely aligned to this initiative.
Why this is likely relevant: Direct APAC ecosystem owner and high-fit decision-maker for regional sponsorship activations.

What this partnership is designed to deliver:
- Qualified pipeline of teams deploying on your chain.
- On-chain outcomes: active wallets, contracts, and transaction growth.
- Narrative leadership: your chain positioned as the execution layer for the cohort.

We are not positioning this as logo placement. This is a flagship partnership with clear adoption KPIs and board-level reporting.

Would you be open to a focused 20-minute call next week?
[insert scheduling link]

Best,
Mariam
Partnerships, enXross
[mariam@your-domain]
https://YOUR-DOMAIN/sponsors-l1.html",Pending,Send during APAC business hours (09:00-11:00 local).,2026-02-17,Email + LinkedIn DM,Re: Official L1 Partner seat for enXross APAC cohort (Solana Foundation),"Hi Lu,

Quick follow-up in case this is relevant to your APAC planning.

We have one official L1 partner seat and are prioritizing partners focused on measurable adoption outcomes, not visibility-only sponsorship.

If useful, I can send the 1-page executive brief first so you can quickly assess fit.

Best,
Mariam",Pending,"If no reply, send LinkedIn connect + message same day.",2026-02-24,Email (close-loop) + referral ask,Close loop: enXross x Solana Foundation,"Hi Lu,

Closing the loop on this thread.

If this is not in your remit, could you point me to the owner for APAC partnerships/sponsorship decisions?

I can share a concise one-pager and keep this efficient.

Thanks,
Mariam",Pending,Ask for correct owner if out-of-scope; archive if no response after 7 days.
Mariam,11,A,L1,Wormhole,Rachit Agarwal,APAC Lead,APAC,Medium,https://solanasummit.org/en/speakers,Email + LinkedIn + warm intro,"Regional interoperability lead; high relevance for cross-chain, enterprise, and ecosystem sponsorship.",https://YOUR-DOMAIN/sponsors-l1.html,Ready to send,Send first-touch email on 2026-02-10,2026-02-10,Email,Official L1 Partner seat for enXross APAC cohort (Wormhole),"Hi Rachit,

enXross is finalizing one Official L1 Partner for our next cohort in Tokyo ([insert cohort dates]).

I am contacting you specifically because your role as APAC Lead at Wormhole is closely aligned to this initiative.
Why this is likely relevant: Regional interoperability lead; high relevance for cross-chain, enterprise, and ecosystem sponsorship.

What this partnership is designed to deliver:
- Qualified pipeline of teams deploying on your chain.
- On-chain outcomes: active wallets, contracts, and transaction growth.
- Narrative leadership: your chain positioned as the execution layer for the cohort.

We are not positioning this as logo placement. This is a flagship partnership with clear adoption KPIs and board-level reporting.

Would you be open to a focused 20-minute call next week?
[insert scheduling link]

Best,
Mariam
Partnerships, enXross
[mariam@your-domain]
https://YOUR-DOMAIN/sponsors-l1.html",Pending,Send during APAC business hours (09:00-11:00 local).,2026-02-17,Email + LinkedIn DM,Re: Official L1 Partner seat for enXross APAC cohort (Wormhole),"Hi Rachit,

Quick follow-up in case this is relevant to your APAC planning.

We have one official L1 partner seat and are prioritizing partners focused on measurable adoption outcomes, not visibility-only sponsorship.

If useful, I can send the 1-page executive brief first so you can quickly assess fit.

Best,
Mariam",Pending,"If no reply, send LinkedIn connect + message same day.",2026-02-24,Email (close-loop) + referral ask,Close loop: enXross x Wormhole,"Hi Rachit,

Closing the loop on this thread.

If this is not in your remit, could you point me to the owner for APAC partnerships/sponsorship decisions?

I can share a concise one-pager and keep this efficient.

Thanks,
Mariam",Pending,Ask for correct owner if out-of-scope; archive if no response after 7 days.
Mariam,12,A,XR,PICO XR,Allen An,"Regional Director, PICO XR APAC",APAC,Medium,https://prebiu.com/2024/09/05/pico-launches-the-pico-4-ultra-an-all-in-one-mr-headset-offering-a-new-level-of-immersive-experience/,Email + LinkedIn + warm intro,Named APAC regional leader for XR hardware market expansion and ecosystem growth.,https://YOUR-DOMAIN/sponsors-xr.html,Ready to send,Send first-touch email on 2026-02-10,2026-02-10,Email,Official XR Partner opportunity for enXross APAC cohort (PICO XR),"Hi Allen,

I am reaching out because enXross is selecting one Official XR Partner for our upcoming APAC cohort in Tokyo.

I am contacting you specifically because your role as Regional Director, PICO XR APAC at PICO XR is closely aligned to this initiative.
Why this is likely relevant: Named APAC regional leader for XR hardware market expansion and ecosystem growth.

What this partnership is designed to deliver:
- First access to founder teams building spatial experiences.
- Product-native activations that put your platform in live workflows.
- Outcome reporting tied to demos shipped and post-cohort adoption.

We are not positioning this as logo placement. This is a flagship partnership with clear adoption KPIs and board-level reporting.

Would you be open to a focused 20-minute call next week?
[insert scheduling link]

Best,
Mariam
Partnerships, enXross
[mariam@your-domain]
https://YOUR-DOMAIN/sponsors-xr.html",Pending,Send during APAC business hours (09:00-11:00 local).,2026-02-17,Email + LinkedIn DM,Re: Official XR Partner opportunity for enXross APAC cohort (PICO XR),"Hi Allen,

Quick follow-up in case this is relevant to your APAC planning.

We have one official XR partner seat and are prioritizing partners focused on measurable adoption outcomes, not visibility-only sponsorship.

If useful, I can send the 1-page executive brief first so you can quickly assess fit.

Best,
Mariam",Pending,"If no reply, send LinkedIn connect + message same day.",2026-02-24,Email (close-loop) + referral ask,Close loop: enXross x PICO XR,"Hi Allen,

Closing the loop on this thread.

If this is not in your remit, could you point me to the owner for APAC partnerships/sponsorship decisions?

I can share a concise one-pager and keep this efficient.

Thanks,
Mariam",Pending,Ask for correct owner if out-of-scope; archive if no response after 7 days.
